file,num_lines,num_networks,parser,total_time_ms,parse_time_ms
docker_compose_01.yml,18,2,Python (ANTLR4),138.5818,7.0309
docker_compose_01.yml,18,2,C# (ANTLR4),112.3053,28.3244
docker_compose_01.yml,18,2,C (Flex+Bison),11.8204,0.2276
docker_compose_02.yml,30,4,Python (ANTLR4),141.9855,8.7822
docker_compose_02.yml,30,4,C# (ANTLR4),146.7222,42.2621
docker_compose_02.yml,30,4,C (Flex+Bison),14.6232,0.3099
docker_compose_03.yml,42,6,Python (ANTLR4),138.9847,9.0233
docker_compose_03.yml,42,6,C# (ANTLR4),123.7884,32.0231
docker_compose_03.yml,42,6,C (Flex+Bison),12.562,0.2792
docker_compose_04.yml,54,8,Python (ANTLR4),251.4902,13.6212
docker_compose_04.yml,54,8,C# (ANTLR4),105.2975,25.0672
docker_compose_04.yml,54,8,C (Flex+Bison),11.352,0.2379
docker_compose_05.yml,66,10,Python (ANTLR4),132.3498,10.3928
docker_compose_05.yml,66,10,C# (ANTLR4),111.7261,27.7262
docker_compose_05.yml,66,10,C (Flex+Bison),16.3756,0.3611
docker_compose_06.yml,78,12,Python (ANTLR4),177.4998,11.6003
docker_compose_06.yml,78,12,C# (ANTLR4),111.6925,25.7989
docker_compose_06.yml,78,12,C (Flex+Bison),11.4687,0.246
docker_compose_07.yml,90,14,Python (ANTLR4),143.6547,14.9814
docker_compose_07.yml,90,14,C# (ANTLR4),118.9345,28.3434
docker_compose_07.yml,90,14,C (Flex+Bison),11.6912,0.2765
docker_compose_08.yml,102,16,Python (ANTLR4),143.3277,13.54
docker_compose_08.yml,102,16,C# (ANTLR4),107.9734,25.8357
docker_compose_08.yml,102,16,C (Flex+Bison),10.6445,0.2575
docker_compose_09.yml,114,18,Python (ANTLR4),152.1869,18.6418
docker_compose_09.yml,114,18,C# (ANTLR4),164.6713,36.4733
docker_compose_09.yml,114,18,C (Flex+Bison),12.5586,0.2736
docker_compose_10.yml,126,20,Python (ANTLR4),135.6009,15.8876
docker_compose_10.yml,126,20,C# (ANTLR4),106.1746,26.2061
docker_compose_10.yml,126,20,C (Flex+Bison),11.2754,0.2615
docker_compose_11.yml,138,22,Python (ANTLR4),141.128,16.101
docker_compose_11.yml,138,22,C# (ANTLR4),106.2204,25.7851
docker_compose_11.yml,138,22,C (Flex+Bison),11.3998,0.2575
docker_compose_12.yml,150,24,Python (ANTLR4),149.5414,16.7894
docker_compose_12.yml,150,24,C# (ANTLR4),106.5161,26.283
docker_compose_12.yml,150,24,C (Flex+Bison),11.477,0.2579
docker_compose_13.yml,162,26,Python (ANTLR4),199.4717,31.8929
docker_compose_13.yml,162,26,C# (ANTLR4),117.7739,28.8377
docker_compose_13.yml,162,26,C (Flex+Bison),12.1086,0.3247
docker_compose_14.yml,174,28,Python (ANTLR4),143.1817,18.9
docker_compose_14.yml,174,28,C# (ANTLR4),106.7077,25.883
docker_compose_14.yml,174,28,C (Flex+Bison),11.3131,0.2695
docker_compose_15.yml,186,30,Python (ANTLR4),157.7942,26.7489
docker_compose_15.yml,186,30,C# (ANTLR4),113.0797,27.6744
docker_compose_15.yml,186,30,C (Flex+Bison),10.9199,0.2981
docker_compose_16.yml,198,32,Python (ANTLR4),147.2662,19.6322
docker_compose_16.yml,198,32,C# (ANTLR4),173.7794,46.1129
docker_compose_16.yml,198,32,C (Flex+Bison),14.3835,0.3146
